Sample UID,Observation UID,Sample Site UID,Dummy Sample,Circulation,Category Group Name,Project Number,Project Title,Project Region,Project Group Name,Campaign Name,Sample Site Name,Latitude,Longitude,Altitude,WMO Code,Country ISO Code,Sample Site Type Name,Sample Name,Sample Date,Sample Date Accuracy,Lith Adj Code,Lith Adj Name,Lith Noun Code,Lith Noun Name,Period From,Period To,Min Depth,Max Depth,Sampling Method Code,Sampling Method Name,Sample Media Type Code,Sample Media Type Name,Sample Info,Measurand Symbol,Observation Method Code,Observation Method Name,Measurand Prefix,Measurand Amount,Measurand Uncertainty,Measurand Unit,Observation Date,Observation Date Accuracy,Field Preparation Method Name,Data Provider Code,Data Provider Name,Quality Flag Code,Quality Flag Name
e975ca09-1795-42b3-b944-f1a97c530b8e,f5fd40c0-b2f9-42a9-b80b-5c775cf58a32,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197301,1973-01-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,1973-01-01T00:00:00.0000000+01:00,1973-01-31T00:00:00.0000000+01:00,,,,,WPM,"Rain & Snow (""mixed"")",,H2,,,,-91,,‰ vs VSMOW-SLAP,,None,,185,Umweltforschungszentrum Leipzig-Halle GmbH,,
e975ca09-1795-42b3-b944-f1a97c530b8e,8cb80094-32d6-4217-88b3-283ba4f66ab0,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197301,1973-01-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,1973-01-01T00:00:00.0000000+01:00,1973-01-31T00:00:00.0000000+01:00,,,,,WPM,"Rain & Snow (""mixed"")",,Vp,,,,5.4,,hPa,,None,,42,Field measurement,,
e975ca09-1795-42b3-b944-f1a97c530b8e,f63e8650-80a0-498e-8af7-8b95bfad17e1,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197301,1973-01-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,1973-01-01T00:00:00.0000000+01:00,1973-01-31T00:00:00.0000000+01:00,,,,,WPM,"Rain & Snow (""mixed"")",,Precipitation,,,,20,,mm,,None,,42,Field measurement,,
e975ca09-1795-42b3-b944-f1a97c530b8e,c9a9920f-560e-4c98-b474-6f42279c82c3,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197301,1973-01-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,1973-01-01T00:00:00.0000000+01:00,1973-01-31T00:00:00.0000000+01:00,,,,,WPM,"Rain & Snow (""mixed"")",,TempAir,,,,0.2,,°C,,None,,42,Field measurement,,
be66a0ed-28eb-48ac-ad11-aa3899b34463,fde39664-4c8a-49da-8b8e-c7675dc3099a,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197302,1973-02-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,1973-02-01T00:00:00.0000000+01:00,1973-02-28T00:00:00.0000000+01:00,,,,,WPM,"Rain & Snow (""mixed"")",,H2,,,,-73,,‰ vs VSMOW-SLAP,,None,,185,Umweltforschungszentrum Leipzig-Halle GmbH,,
be66a0ed-28eb-48ac-ad11-aa3899b34463,4d24214e-11ea-4f5c-ace1-ac81b3c1927f,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197302,1973-02-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,1973-02-01T00:00:00.0000000+01:00,1973-02-28T00:00:00.0000000+01:00,,,,,WPM,"Rain & Snow (""mixed"")",,Vp,,,,5.8,,hPa,,None,,42,Field measurement,,
be66a0ed-28eb-48ac-ad11-aa3899b34463,7b497744-d125-406d-a094-a7a5651c01f8,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197302,1973-02-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,1973-02-01T00:00:00.0000000+01:00,1973-02-28T00:00:00.0000000+01:00,,,,,WPM,"Rain & Snow (""mixed"")",,Precipitation,,,,21,,mm,,None,,42,Field measurement,,
be66a0ed-28eb-48ac-ad11-aa3899b34463,623d16e6-8371-4447-9cb9-5a491251ba9a,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197302,1973-02-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,1973-02-01T00:00:00.0000000+01:00,1973-02-28T00:00:00.0000000+01:00,,,,,WPM,"Rain & Snow (""mixed"")",,TempAir,,,,1.9,,°C,,None,,42,Field measurement,,
99fe896a-6be4-4e52-9e23-3b90373abf8e,58a0219d-7c97-4e8b-98af-d2b976d95928,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197303,1973-03-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,1973-03-01T00:00:00.0000000+01:00,1973-03-31T00:00:00.0000000+02:00,,,,,WPR,Rain,,H2,,,,-57,,‰ vs VSMOW-SLAP,,None,,185,Umweltforschungszentrum Leipzig-Halle GmbH,,
99fe896a-6be4-4e52-9e23-3b90373abf8e,ad682ce9-494b-48ed-95b2-0cf141a9b531,a9686ad4-415a-4836-8695-bd2178655d2f,FALSE,Public,Precipitation,GNIP/M/DE/04,GNIP/Germany (UFZ Leipzig-Halle),Germany (Leipzig),GNIP - Monthly,Historic,LEIPZIG,51.35,12.43,125,1046900,DE,Precipitation collectors - unknown,197303,1973-03-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,1973-03-01T00:00:00.0000000+01:00,1973-03-31T00:00:00.0000000+02:00,,,,,WPR,Rain,,Vp,,,,6.4,,hPa,,None,,42,Field measurement,,
